Left	Right	Ratio
queen	regime
kwiːn	rəʒiːm	0.36363636363636365
pay	age
peɪ	eɪdʒ	0.5714285714285714
prosperous	hostages
prɑːspɝəs	hɑːstədʒəz	0.42105263157894735
prosperous	just
prɑːspɝəs	dʒʌst	0.14285714285714285
Love	move
lʌv	muːv	0.2857142857142857
Mom	plum
mɑːm	plʌm	0.25
Bridge	fudge
brɪdʒ	fʌdʒ	0.4444444444444444
boil	bubble
bɔɪl	bʌbəl	0.4444444444444444
sting	dog
stɪŋ	dɔg	0.0
mouth	out
maʊθ	aʊt	0.5714285714285714
